BitCoin,"{'e': 'aggTrade', 'E': 1583600405777, 's': 'BTCUSDT', 'a': 236736015, 'p': '9032.46000000', 'q': '0.00220700', 'f': 258637150, 'l': 258637150, 'T': 1583600405775, 'm': False, 'M': True}",07/03/2020 20:00:05
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600405777, 's': 'BTCUSDT', 'a': 236736016, 'p': '9032.47000000', 'q': '0.05109600', 'f': 258637151, 'l': 258637151, 'T': 1583600405775, 'm': False, 'M': True}",07/03/2020 20:00:05
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600405864, 's': 'BTCUSDT', 'a': 236736017, 'p': '9031.04000000', 'q': '0.19950000', 'f': 258637152, 'l': 258637152, 'T': 1583600405862, 'm': True, 'M': True}",07/03/2020 20:00:05
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600405864, 's': 'BTCUSDT', 'a': 236736018, 'p': '9030.81000000', 'q': '0.19903100', 'f': 258637153, 'l': 258637153, 'T': 1583600405862, 'm': True, 'M': True}",07/03/2020 20:00:05
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600405948, 's': 'BTCUSDT', 'a': 236736019, 'p': '9032.44000000', 'q': '0.06008100', 'f': 258637154, 'l': 258637154, 'T': 1583600405946, 'm': False, 'M': True}",07/03/2020 20:00:05
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600406120, 's': 'BTCUSDT', 'a': 236736020, 'p': '9032.35000000', 'q': '0.06037300', 'f': 258637155, 'l': 258637155, 'T': 1583600406119, 'm': False, 'M': True}",07/03/2020 20:00:05
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600406370, 's': 'BTCUSDT', 'a': 236736021, 'p': '9030.84000000', 'q': '0.13455300', 'f': 258637156, 'l': 258637156, 'T': 1583600406369, 'm': True, 'M': True}",07/03/2020 20:00:06
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600406370, 's': 'BTCUSDT', 'a': 236736022, 'p': '9030.83000000', 'q': '0.13275000', 'f': 258637157, 'l': 258637157, 'T': 1583600406369, 'm': True, 'M': True}",07/03/2020 20:00:06
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600406370, 's': 'BTCUSDT', 'a': 236736023, 'p': '9030.82000000', 'q': '0.00221400', 'f': 258637158, 'l': 258637158, 'T': 1583600406369, 'm': True, 'M': True}",07/03/2020 20:00:06
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600406370, 's': 'BTCUSDT', 'a': 236736024, 'p': '9030.77000000', 'q': '0.03719500', 'f': 258637159, 'l': 258637159, 'T': 1583600406369, 'm': True, 'M': True}",07/03/2020 20:00:06
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600406385, 's': 'BTCUSDT', 'a': 236736025, 'p': '9032.31000000', 'q': '0.09466700', 'f': 258637160, 'l': 258637160, 'T': 1583600406384, 'm': False, 'M': True}",07/03/2020 20:00:06
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600406411, 's': 'BTCUSDT', 'a': 236736026, 'p': '9030.86000000', 'q': '0.12611100', 'f': 258637161, 'l': 258637161, 'T': 1583600406409, 'm': True, 'M': True}",07/03/2020 20:00:06
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600406411, 's': 'BTCUSDT', 'a': 236736027, 'p': '9030.79000000', 'q': '0.21600000', 'f': 258637162, 'l': 258637162, 'T': 1583600406409, 'm': True, 'M': True}",07/03/2020 20:00:06
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600406411, 's': 'BTCUSDT', 'a': 236736028, 'p': '9030.76000000', 'q': '1.84467100', 'f': 258637163, 'l': 258637163, 'T': 1583600406409, 'm': True, 'M': True}",07/03/2020 20:00:06
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600406441, 's': 'BTCUSDT', 'a': 236736029, 'p': '9030.82000000', 'q': '0.07683100', 'f': 258637164, 'l': 258637164, 'T': 1583600406440, 'm': True, 'M': True}",07/03/2020 20:00:06
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600406441, 's': 'BTCUSDT', 'a': 236736030, 'p': '9030.81000000', 'q': '0.03116900', 'f': 258637165, 'l': 258637165, 'T': 1583600406440, 'm': True, 'M': True}",07/03/2020 20:00:06
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600406443, 's': 'BTCUSDT', 'a': 236736031, 'p': '9030.81000000', 'q': '0.07683100', 'f': 258637166, 'l': 258637166, 'T': 1583600406442, 'm': True, 'M': True}",07/03/2020 20:00:06
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600406443, 's': 'BTCUSDT', 'a': 236736032, 'p': '9030.76000000', 'q': '1.17316900', 'f': 258637167, 'l': 258637167, 'T': 1583600406442, 'm': True, 'M': True}",07/03/2020 20:00:06
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600406446, 's': 'BTCUSDT', 'a': 236736033, 'p': '9030.87000000', 'q': '0.07500000', 'f': 258637168, 'l': 258637168, 'T': 1583600406444, 'm': True, 'M': True}",07/03/2020 20:00:06
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600406446, 's': 'BTCUSDT', 'a': 236736034, 'p': '9030.76000000', 'q': '1.17500000', 'f': 258637169, 'l': 258637169, 'T': 1583600406444, 'm': True, 'M': True}",07/03/2020 20:00:06
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600406447, 's': 'BTCUSDT', 'a': 236736035, 'p': '9030.76000000', 'q': '0.65533000', 'f': 258637170, 'l': 258637170, 'T': 1583600406445, 'm': True, 'M': True}",07/03/2020 20:00:06
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600406456, 's': 'BTCUSDT', 'a': 236736036, 'p': '9030.76000000', 'q': '0.06870000', 'f': 258637171, 'l': 258637171, 'T': 1583600406455, 'm': True, 'M': True}",07/03/2020 20:00:06
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600406460, 's': 'BTCUSDT', 'a': 236736037, 'p': '9030.77000000', 'q': '0.18300000', 'f': 258637172, 'l': 258637172, 'T': 1583600406457, 'm': True, 'M': True}",07/03/2020 20:00:06
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600406460, 's': 'BTCUSDT', 'a': 236736038, 'p': '9030.76000000', 'q': '0.08313000', 'f': 258637173, 'l': 258637173, 'T': 1583600406457, 'm': True, 'M': True}",07/03/2020 20:00:06
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600406460, 's': 'BTCUSDT', 'a': 236736039, 'p': '9030.37000000', 'q': '0.18740000', 'f': 258637174, 'l': 258637174, 'T': 1583600406457, 'm': True, 'M': True}",07/03/2020 20:00:06
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600406460, 's': 'BTCUSDT', 'a': 236736040, 'p': '9030.36000000', 'q': '0.06870000', 'f': 258637175, 'l': 258637184, 'T': 1583600406457, 'm': True, 'M': True}",07/03/2020 20:00:06
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600406460, 's': 'BTCUSDT', 'a': 236736041, 'p': '9030.32000000', 'q': '0.02500000', 'f': 258637185, 'l': 258637185, 'T': 1583600406457, 'm': True, 'M': True}",07/03/2020 20:00:06
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600406460, 's': 'BTCUSDT', 'a': 236736042, 'p': '9030.01000000', 'q': '0.00135000', 'f': 258637186, 'l': 258637186, 'T': 1583600406457, 'm': True, 'M': True}",07/03/2020 20:00:06
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600406462, 's': 'BTCUSDT', 'a': 236736043, 'p': '9030.83000000', 'q': '0.06233800', 'f': 258637187, 'l': 258637187, 'T': 1583600406460, 'm': True, 'M': True}",07/03/2020 20:00:06
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600406462, 's': 'BTCUSDT', 'a': 236736044, 'p': '9030.01000000', 'q': '0.49865000', 'f': 258637188, 'l': 258637188, 'T': 1583600406460, 'm': True, 'M': True}",07/03/2020 20:00:06
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600406462, 's': 'BTCUSDT', 'a': 236736045, 'p': '9030.00000000', 'q': '0.43901200', 'f': 258637189, 'l': 258637189, 'T': 1583600406460, 'm': True, 'M': True}",07/03/2020 20:00:06
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600406463, 's': 'BTCUSDT', 'a': 236736046, 'p': '9030.00000000', 'q': '0.10956400', 'f': 258637190, 'l': 258637191, 'T': 1583600406460, 'm': True, 'M': True}",07/03/2020 20:00:06
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600406466, 's': 'BTCUSDT', 'a': 236736047, 'p': '9029.86000000', 'q': '0.27292000', 'f': 258637192, 'l': 258637192, 'T': 1583600406464, 'm': True, 'M': True}",07/03/2020 20:00:06
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600406510, 's': 'BTCUSDT', 'a': 236736048, 'p': '9029.88000000', 'q': '0.00834000', 'f': 258637193, 'l': 258637193, 'T': 1583600406509, 'm': True, 'M': True}",07/03/2020 20:00:06
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600406541, 's': 'BTCUSDT', 'a': 236736049, 'p': '9029.89000000', 'q': '0.39000000', 'f': 258637194, 'l': 258637194, 'T': 1583600406540, 'm': True, 'M': True}",07/03/2020 20:00:06
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600406541, 's': 'BTCUSDT', 'a': 236736050, 'p': '9029.86000000', 'q': '0.12473000', 'f': 258637195, 'l': 258637195, 'T': 1583600406540, 'm': True, 'M': True}",07/03/2020 20:00:06
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600406543, 's': 'BTCUSDT', 'a': 236736051, 'p': '9030.00000000', 'q': '0.06052100', 'f': 258637196, 'l': 258637196, 'T': 1583600406542, 'm': False, 'M': True}",07/03/2020 20:00:06
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600406545, 's': 'BTCUSDT', 'a': 236736052, 'p': '9029.86000000', 'q': '0.18277000', 'f': 258637197, 'l': 258637197, 'T': 1583600406543, 'm': True, 'M': True}",07/03/2020 20:00:06
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600406545, 's': 'BTCUSDT', 'a': 236736053, 'p': '9029.85000000', 'q': '0.31723000', 'f': 258637198, 'l': 258637198, 'T': 1583600406543, 'm': True, 'M': True}",07/03/2020 20:00:06
CryptoCoin,Price,Date
